HPC_index,Framework,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_10kPa,C2H6_10kPa,C2H4_100kPa,C2H6_100kPa,WC_C2H4,WC_C2H6,S1
7580,hMOF-6002568,[V],"['O=C([O-])c1c[c]c2c(F)c(C(=O)[O-])c(F)[c]c2c1', 'O=C([O-])C#CC12CCC(C#CC(=O)[O-])(C(F)(F)C1F)C(F)(F)C2F']",rna,7.19275,6.14353,0.639869,2121.687841,1960.73098,5.336673534,0.164751129,60.70447571,5.39202397,55.36780218,5.227272841,1.332362377
7581,hMOF-6002569,[V],"['O=C([O-])C#CC12CC(Br)C(C#CC(=O)[O-])(CC1(Br)Br)C(Br)(Br)C2Br', 'O=C([O-])c1cc2cc(Br)c(C(=O)[O-])cc2cc1Br']",rna,6.48749,5.60079,0.634189,1274.68143,1910.88764,11.32617157,0.761829824,62.67442918,7.075336338,51.34825761,6.313506514,1.693354793
7582,hMOF-6002570,[V],"['O=C([O-])C#CC12CC(Br)C(C#CC(=O)[O-])(C(Br)C1Br)C(Br)(Br)C2Br', 'O=C([O-])c1[c]cc2[c]c(C(=O)[O-])[c]cc2[c]1']",rna,6.44446,5.54489,0.672317,1096.84223,1856.352251,16.83876888,1.550159236,64.80729507,7.615805704,47.96852619,6.065646468,1.762719543
7583,hMOF-6002571,[V],"['O=C([O-])C#CC12CCC(C#CC(=O)[O-])(C(Br)C1Br)C(Br)(Br)C2(Br)Br', 'O=C([O-])c1ccc2c(Br)c(C(=O)[O-])c(Br)cc2c1']",rna,5.48204,4.88987,0.510449,1022.421275,1564.996504,3.428835337,0.087592968,35.29853502,2.80852827,31.86969968,2.720935302,1.193475141
7584,hMOF-6002572,[V],"['CC1CC2(C#CC(=O)[O-])C(C)(C)C(C)C1(C#CC(=O)[O-])C(C)C2(C)C', 'Cc1cc2cc(C(=O)[O-])c(C)cc2cc1C(=O)[O-]']",rna,7.21272,6.23532,0.611368,1916.466019,1705.663213,14.50523139,0.821762627,100.7446862,10.96463348,86.23945481,10.14287085,1.632537739
7585,hMOF-6002573,[V],"['Cc1c(C(=O)[O-])cc(C)c2c(C)c(C(=O)[O-])ccc12', 'CC1C(C)C2(C#CC(=O)[O-])C(C)(C)C(C)C1(C#CC(=O)[O-])C(C)C2(C)C']",rna,6.02979,4.96889,0.481637,1397.557471,1305.513465,9.11103094,0.365045425,68.34098802,6.341432897,59.22995708,5.976387472,1.391865939
7586,hMOF-6002574,[V],"['CC1C(C)C2(C#CC(=O)[O-])C(C)CC1(C#CC(=O)[O-])CC2(C)C', 'Cc1cc2c(C)c(C(=O)[O-])cc(C)c2c(C)c1C(=O)[O-]']",rna,6.27294,5.22405,0.473303,1409.333943,1267.046223,4.67332409,0.09367899,47.32173212,3.18323352,42.64840803,3.08955453,1.009018492
7587,hMOF-6002575,[V],"['CCc1cc2cc(C(=O)[O-])ccc2cc1[C][O]', 'CCC1CC2(C#CC(=O)[O-])C(CC)CC1(C#CC(=O)[O-])C(CC)C2CC']",rna,6.91214,5.95231,0.580396,1742.886301,1564.410111,13.02715465,0.722461269,79.03167897,8.363665246,66.00452432,7.641203977,1.587401158
7588,hMOF-6002576,[V],"['O=C([O-])c1ccc2cc(C(=O)[O-])ccc2c1', '[CH]CC1(C#CC(=O)[O-])CC[C](C#CC(=O)[O-])C([CH]C=C[CH][CH2])(C2[CH]C=CC=C2)C1(c1[c]cccc1)c1[c]cccc1']",rna,4.83364,2.89362,0.315701,336.452343,369.662375,1.926606959,0.028042974,20.11103015,0.896437782,18.18442319,0.868394808,0.668616507
7589,hMOF-6002577,[V],"['N#CC1C2[C]3[N]N3[C]C3(C#N)C(C#N)(C#N)C1(C#CC(=O)[O-])C(C#N)C(C#N)(C#N)C23C#CC(=O)[O-]', 'N#Cc1cc2cc(C(=O)[O-])ccc2cc1C(=O)[O-]']",rna,5.93054,4.52975,0.530514,1530.406709,1579.663307,7.942829302,0.355625494,53.80762557,5.053756726,45.86479627,4.698131232,1.408840291
7590,hMOF-6002578,[V],"['N#CC1C2(C#CC(=O)[O-])CCC(C#CC(=O)[O-])(C(C#N)C2)C1(C#N)C#N', 'N#CC1C(C#N)C2(C#CC(=O)[O-])C3[C]N4[N][C]4C2C2[C]4[N]N4[C]C3C12C#CC(=O)[O-]']",rna,7.97415,7.27712,0.550601,1882.726653,1610.679207,3.045844346,0.059971157,35.53086333,2.350596395,32.48501898,2.290625238,0.992347008
7591,hMOF-6002579,[V],"['N#Cc1cc2cc(C(=O)[O-])cc(C#N)c2c(C#N)c1C(=O)[O-]', 'N#CC1C(C#N)(C#N)C2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])C(C#N)(C#N)C2']",rna,6.28029,5.49429,0.465269,1342.84223,1331.276322,3.182296451,0.066474637,34.93931671,2.150613621,31.75702026,2.084138984,0.923292364
7592,hMOF-6002581,[V],"['[C]c1cc(C(=O)[O-])cc(N[NH])c1[C](N=N)C(=[CH])C(=O)[O-]', 'N=NC1C2[N]NN[N]C3(N=N)CC1(C#CC(=O)[O-])C(N=N)C(N=N)C23C#CC(=O)[O-]']",rna,8.05921,5.87622,0.589328,1683.950848,1684.52766,7.920347812,0.335887883,63.34442234,6.102177694,55.42407453,5.766289811,1.444999607
